name,host_id,host_name,host_is_superhost,neighbourhood,neighbourhood_group_cleansed,beds,price,review_scores_rating
Rental unit in Antwerpen · ★4.65 · 1 bedroom · 2 beds · 1 bath,45793937,Daniella,f,"Antwerpen, Vlaanderen, Belgium",,2,$70.00,4.65
Home in Antwerpen · ★4.76 · 8 bedrooms · 25 beds · 8.5 baths,26893689,Filip,f,"Antwerpen, Vlaanderen, Belgium",,25,$568.00,4.76
Rental unit in Antwerpen · ★4.94 · 2 bedrooms · 2 beds · 2.5 baths,29142151,Suzy,f,,,2,$140.00,4.94
Loft in Antwerpen · ★4.79 · 1 bedroom · 1 bed · 1 bath,27447276,Kavak,f,"Antwerpen, Vlaanderen, Belgium",,1,$115.00,4.79
Rental unit in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 bath,46459971,Pascal,f,"Antwerpen, Vlaanderen, Belgium",,1,$123.00,4.86
Rental unit in Antwerpen · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,46828404,Johan,f,,,3,$65.00,5.0
Loft in Antwerpen · ★4.68 · 1 bedroom · 1 bed · 1 bath,46855052,Marije,f,"Antwerpen, Vlaanderen, Belgium",,1,$71.00,4.68
Rental unit in Antwerpen · ★4.79 · 2 bedrooms · 3 beds · 2 baths,42451031,Lana,f,"Antwerpen, Vlaanderen, Belgium",,3,$176.00,4.79
Rental unit in Antwerpen · ★4.33 · 1 bedroom · 1 bed · 1 bath,47542627,Moumouni,f,"Antwerpen, Vlaanderen, Belgium",,1,$70.00,4.33
Condo in Antwerpen · ★4.89 · 1 bedroom · 2 beds · 1 bath,48943070,Anny,t,,,2,$100.00,4.89
Rental unit in Antwerpen · ★4.59 · 4 bedrooms · 4 beds · 3.5 baths,4277604,Sarah,t,"Antwerpen, Vlaanderen, Belgium",,4,$396.00,4.59
Rental unit in Antwerpen · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8331121,Joeri,f,,,1,,4.9
Rental unit in Antwerpen · ★4.85 · 1 bedroom · 2 beds · 1.5 baths,19211847,Dieter,t,,,2,$109.00,4.85
Townhouse in Antwerpen · ★4.41 · 1 bedroom · 3 beds · 1.5 shared baths,11087865,Jay,f,,,3,$42.00,4.41
Rental unit in Antwerpen · ★4.42 · 1 bedroom · 2 beds · 1 bath,41687451,Irina & Gianpaolo,f,,,2,$58.00,4.42
Townhouse in Antwerpen · ★4.44 · 1 bedroom · 3 beds · 1 shared bath,11087865,Jay,f,,,3,$43.00,4.44
Loft in Antwerpen · ★4.65 · 1 bedroom · 6 beds · 1.5 baths,50969699,Petra,f,"Antwerpen, Vlaanderen, Belgium",,6,$256.00,4.65
Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 3 beds · 1 bath,51433236,Tinne,f,"Antwerpen, Vlaanderen, Belgium",,3,$57.00,4.86
Rental unit in Antwerpen · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,17189644,Irene,f,"Antwerpen, Vlaanderen, Belgium",,1,$70.00,4.59
Rental unit in Antwerpen · ★4.25 · 3 bedrooms · 3 beds · 2 baths,52106350,Jackie,f,"Antwerpen, Vlaanderen, Belgium",,3,$160.00,4.25
Home in Antwerpen · ★4.48 · 2 bedrooms · 1 bed · 1 shared bath,22962538,Griet,f,,,1,$45.00,4.48
Rental unit in Antwerpen · ★4.90 · 2 bedrooms · 2 beds · 1 bath,27425148,Delphine,f,"Antwerpen, Vlaanderen, Belgium",,2,$120.00,4.9
Home in Antwerpen · 4 bedrooms · 5 beds · 1.5 shared baths,33481052,Anne,t,"Antwerpen, Vlaanderen, Belgium",,5,,5.0
Home in Antwerpen · ★4.90 · 1 bedroom · 4 beds · 1 private bath,10026319,Marc,t,"Antwerpen, Vlaanderen, Belgium",,4,$86.00,4.9
Townhouse in Antwerpen · ★4.94 · 1 bedroom · 2 beds · 1 private bath,10026319,Marc,t,"Antwerpen, Vlaanderen, Belgium",,2,$86.00,4.94
Rental unit in Antwerp · ★4.66 · 2 bedrooms · 4 beds · 1 bath,50969699,Petra,f,,,4,$275.00,4.66
Loft in Antwerpen · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,14336753,Bert,f,"Antwerpen, Vlaanderen, Belgium",,1,$125.00,4.82
Rental unit in Antwerpen · ★4.86 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Vlaanderen, Belgium",,2,$151.00,4.86
Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Belgium",,2,$121.00,4.79
Rental unit in Antwerpen · ★4.34 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,f,,,2,$106.00,4.34
Rental unit in Antwerpen · ★4.11 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,f,,,2,$106.00,4.11
Rental unit in Antwerpen · ★4.23 · 2 bedrooms · 2 beds · 1 bath,57272728,Lahkim,f,,,2,$106.00,4.23
Rental unit in Antwerpen · ★4.36 · 1 bedroom · 1 bed · 1 bath,57272728,Lahkim,f,,,1,$106.00,4.36
Rental unit in Antwerpen · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,57724118,Marc,t,,,1,$85.00,4.94
Rental unit in Antwerpen · ★4.70 · 1 bedroom · 1 bed · 1 bath,13255065,Nathalie & Gerhard,f,,,1,$65.00,4.7
Rental unit in Antwerpen · ★4.73 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Vlaanderen, Belgium",,2,$132.00,4.73
Rental unit in Antwerpen · ★4.72 · 1 bedroom · 1 bed · 1 bath,58570541,Raïssa,f,,,1,$127.00,4.72
Condo in Antwerpen · ★3.80 · 1 bedroom · 2 beds · 1.5 shared baths,57800268,DMaria,f,"Antwerpen, Vlaanderen, Belgium",,2,$93.00,3.8
Condo in Antwerpen · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,53149716,Michelle,f,,,2,,5.0
Rental unit in Antwerpen · 2 bedrooms · 2 beds · 1 bath,59517213,Gulpari,f,,,2,$600.00,
Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 3 beds · 2.5 baths,29142151,Suzy,f,"Antwerpen, Vlaanderen, Belgium",,3,$80.00,4.86
Rental unit in Antwerpen · ★4.52 · 1 bedroom · 1 bed · 1 bath,48249191,Lieven,f,,,1,,4.52
Home in Antwerpen · ★4.60 · 1 bedroom · 1 bed · 2 shared baths,34035873,Warre,f,"Antwerpen, Vlaanderen, Belgium",,1,$26.00,4.6
Home in Antwerpen · ★4.87 · 2 bedrooms · 3 beds · 1.5 baths,7639316,David,f,,,3,$90.00,4.87
Rental unit in Antwerpen · 1 bedroom · 2 beds · 1 private bath,57800268,DMaria,f,"Antwerpen, Vlaams Gewest, Belgium",,2,$106.00,
Condo in Antwerpen · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,11154046,Rosemarie,f,"Antwerpen, Vlaanderen, Belgium",,1,,4.74
Rental unit in Antwerpen · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,34913046,Laila,t,"Antwerpen, Vlaanderen, Belgium",,1,$150.00,4.92
Townhouse in Antwerp · ★5.0 · 2 bedrooms · 2 beds · 2 baths,64643964,Klaas,f,"Antwerp, Flanders, Belgium",,2,$72.00,5.0
Rental unit in Antwerpen · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,43673173,Daan,f,,,1,$246.00,4.83
Loft in Antwerp · ★4.83 · Studio · 2 beds · 1 bath,65705918,Leen,f,"Antwerp, Flanders, Belgium",,2,$80.00,4.83
Rental unit in Antwerpen · ★4.75 · 2 bedrooms · 1 bed · 1 bath,65855928,Jo,t,"Antwerpen, Vlaanderen, Belgium",,1,$78.00,4.75
Loft in Antwerpen · ★4.67 · 2 bedrooms · 2 beds · 1 bath,6890762,Marieke,f,"Antwerpen, Vlaanderen, Belgium",,2,$55.00,4.67
Rental unit in Antwerpen · ★4.51 · 2 bedrooms · 2 beds · 1 bath,67208812,Annabel,f,"Antwerpen, Vlaanderen, Belgium",,2,,4.51
Rental unit in Antwerpen · ★4.72 · 2 bedrooms · 3 beds · 1 bath,67322181,Eli,f,"Antwerpen, Vlaanderen, Belgium",,3,$146.00,4.72
Rental unit in Antwerpen · ★4.69 · 2 bedrooms · 3 beds · 1 bath,67322181,Eli,f,"Antwerpen, Belgium",,3,$189.00,4.69
Loft in Antwerpen · ★4.68 · 1 bedroom · 1 bed · 1 bath,2452987,Eveline,f,,,1,,4.68
Rental unit in Antwerpen · ★4.75 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Vlaanderen, Belgium",,2,$128.00,4.75
Rental unit in Antwerpen · ★4.53 · 2 bedrooms · 3 beds · 1 bath,67322181,Eli,f,"Antwerpen, Vlaanderen, Belgium",,3,$186.00,4.53
Rental unit in Antwerpen · ★4.86 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Belgium",,2,$121.00,4.86
Home in Antwerpen · ★4.83 · 2 bedrooms · 2 beds · 1.5 baths,11811395,Pauline,t,"Antwerpen, Vlaanderen, Belgium",,2,$115.00,4.83
Home in Antwerpen · ★4.83 · 1 bedroom · 1 bed · 1 private bath,54840474,Bianca,f,"Antwerpen, Vlaanderen, Belgium",,1,$89.00,4.83
Condo in Antwerpen · 1 bedroom · 1 bed · 1 bath,54840474,Bianca,f,"Antwerpen, Vlaanderen, Belgium",,1,$89.00,5.0
Loft in Antwerpen · ★4.95 · 2 bedrooms · 2 beds · 1 bath,3922134,Erwin,t,"Antwerpen, Vlaanderen, Belgium",,2,$126.00,4.95
Loft in Antwerpen · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,4699615,Johan,t,"Antwerpen, Vlaanderen, Belgium",,1,$105.00,4.93
Rental unit in Antwerpen · ★4.92 · 2 bedrooms · 2 beds · 1 bath,23445793,Margo,f,"Antwerpen, Vlaanderen, Belgium",,2,$90.00,4.92
Condo in Antwerpen · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,19151354,Seher,f,,,1,$68.00,4.93
Rental unit in Antwerpen · ★4.86 · 2 bedrooms · 5 beds · 1 bath,46432178,Jef,f,"Antwerpen, Vlaanderen, Belgium",,5,,4.86
Rental unit in Antwerpen · ★4.85 · 1 bedroom · 1 bed · 1 bath,70325465,Dries,t,,,1,$80.00,4.85
Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,70678810,Winok,f,"Antwerpen, Vlaanderen, Belgium",,1,$17.00,5.0
Rental unit in Antwerpen · ★4.74 · 2 bedrooms · 3 beds · 1 bath,43247005,Rebecca,t,"Antwerpen, Belgium",,3,$176.00,4.74
Camper/RV in Antwerpen · 1 bedroom · Half-bath,32609540,Emilie,f,,,,$124.00,
Rental unit in Antwerpen · ★4.94 · 1 bedroom · 1 bed · 1 bath,1935190,Linda,t,"Antwerpen, Vlaanderen, Belgium",,1,$95.00,4.94
Rental unit in Antwerpen · ★4.75 · 3 bedrooms · 1 bed · 1 shared bath,69740310,Brecht,f,,,1,$800.00,4.75
Home in Antwerpen · ★4.90 · 1 bedroom · 1 bed · 1 bath,28086961,Kim,f,,,1,$65.00,4.9
Rental unit in Antwerpen · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,4586965,Mariona,t,"Antwerpen, Vlaanderen, Belgium",,1,$84.00,4.63
Condo in Antwerpen · ★4.89 · Studio · 2 beds · 1 bath,32949554,Stéphane En Anneke,t,"Antwerpen, Vlaanderen, Belgium",,2,$109.00,4.89
Rental unit in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 bath,12108305,Stéphanie,f,,,1,$96.00,4.86
Rental unit in Antwerpen · ★4.55 · 1 bedroom · 1 bed · 1.5 baths,27585607,Christel,f,,,1,$66.00,4.55
Loft in Antwerpen · ★4.70 · 3 bedrooms · 4 beds · 2 baths,6930093,"Ian, Jande En Marie",f,"Antwerpen, Vlaanderen, Belgium",,4,$252.00,4.7
